id,title,artist,duration
S00001,"Broken Word of Ice","Blaze Apex",415
S00002,"Remembered Wind in the Rain","Captain Blaze",318
S00003,"Stormy Shadow","Ghost Zephyr",296
S00004,"Cloudy City","Big Crest",319
S00005,"Remembering the Sea","Captain Fable",256
S00006,"Forgetting the Light","Brother Tide",280
S00007,"Running Ice of Silver","Demon Apex",323
S00008,"Remembered Star in the Forest","Big Echo",288
S00009,"Empty Tree in the Beat","Aero Zenith",271
S00010,"Ethereal Room","Agent Storm",185
S00011,"Dreaming Of the Wind","Captain Echo",135
S00012,"Dancing With the Silence","The Apex",359
S00013,"Waiting Gate","Nova Phoenix",271
S00014,"Silent Sun in the Sun","Captain Frequency",282
S00015,"Cosmic Rhythm of Picture","Zephyr Pulse",454
S00016,"Hidden Rain","Lil Wave",440
S00017,"Crimson Town of Dust","Lil Rhythm",268
S00018,"Lunar Gold","Sir Wave",130
S00019,"Hiding From the Picture","Sir Fable",202
S00020,"Luminous Wave of Page","Brother Beat",401
S00021,"Cloudy Illusion","Big Nova",237
S00022,"Hiding From the Forest","Captain Blaze",445
S00023,"Infinite Heart of Sky","Rhythm Sirius",469
S00024,"Wild Dream in the Page","The Cascade",360
S00025,"Sunset Flower","Sir Aero",206
S00026,"Neon Voice of Rose","Spirit Phantom",420
S00027,"Lunar Night in the Dream","Sonic Solaris",407
S00028,"Forgetting the Bridge","Pulse Aero",225
S00029,"Midnight Sun in the Day","Lil Lyra",284
S00030,"Empty Ice","Big Beat",162
S00031,"Screaming Whisper of Bridge","Captain Vega",425
S00032,"Fallen Forest in the Stone","Lady Solaris",310
S00033,"Returning Silence of Town","Demon Harmony",345
S00034,"Silver Dream of Silver","Sister Apex",304
S00035,"Sailing On the Road","Melody Vibe",291
S00036,"Dreaming Of the Melody","DJ Frequency",398
S00037,"Remembering the Phoenix","Sister Luna",418
S00038,"Leaving Picture of Rhythm","Rhythm Sirius",355
S00039,"Broken Silver","Demon Vibe",250
S00040,"Lunar Water","Sonic Apex",443
S00041,"Lunar Night of Wave","Sir Climax",281
S00042,"Glowing Mountain of Picture","Apex Wave",272
S00043,"Velvet Rose in the Wind","Big Cascade",333
S00044,"Golden Room","Phantom Orion",159
S00045,"Windy Soul in the Story","Lady Wave",208
S00046,"Walking In the Shadow","Climax Aero",195
S00047,"Returning Street","Brother Rhythm",127
S00048,"Cloudy Heart","Big Ghost",219
S00049,"Walking In the Ocean","Demon Echo",224
S00050,"Dancing Mirror of Dust","DJ Demon",201
S00051,"Hidden Firefly in the Light","MC Wave",329
S00052,"Fallen Sun of Line","Apex Nova",337
S00053,"Running Sky in the Night","Lady Nova",458
S00054,"Golden River of Moon","Climax Aero",370
S00055,"Sunset Town of Ocean","Vega Vega",441
S00056,"Lost Sun of Valley","Spirit Orion",454
S00057,"Singing Under the Gold","The Specter",152
